icao,le_ident,he_ident,le_lat,le_lon,he_lat,he_lon,le_displaced_ft,he_displaced_ft
CAH4,14,32,52.85773654,-119.33959442,52.8477339,-119.33290872,0.0,0.0
CAJ3,15,33,49.04219818,-116.5,49.03170013,-116.49700165,0.0,0.0
CAJ7,07,25,50.4534322,-113.75757516,50.45412542,-113.73832682,0.0,0.0
CAJ9,10,28,57.43069628,-125.65609983,57.42392855,-125.63688795,0,0
CAJ9,11,29,57.43483827,-125.66190766,57.42586267,-125.64386053,0,0
CAK3,07,25,49.07882229,-122.9459069,49.07878482,-122.93507747,0,0
CAM3,13,31,48.75658466,-123.71137431,48.75285194,-123.70827016,0,0
CAP6,11,29,56.79735956,-124.90863126,56.78530203,-124.88766725,0,0
CBA8,07,25,53.85509535,-122.91251779,53.85556522,-122.90110242,0,0
CBG2,04,22,51.42487763,-121.21223035,51.43430942,-121.20688787,0,0
CBJ4,07,25,51.24173826,-121.99691115,51.2418148,-121.98195659,0.0,0.0
CBK7,10,28,58.84905608,-125.24199332,58.84786095,-125.23149414,0,0
CBL3,13,31,58.82553228,-122.79542855,58.8195369,-122.78325645,0,0
CBL9,02,20,51.50566978,-123.80945349,51.51557717,-123.80283226,0,0
CBN9,13,31,56.91272054,-124.97288076,56.90125299,-124.95923644,0,0
CBQ2,08,26,49.16842713,-122.56501654,49.16665599,-122.54783575,0,0
CBR2,07,25,49.90386586,-116.94600318,49.90346196,-116.9291565,0.0,0.0
CBS2,02,20,49.29370229,-103.02084808,49.29713116,-103.01743767,0,0
CBS2,12,30,49.29667282,-103.02572632,49.29122543,-103.01595306,0.0,0.0
CBS7,08,26,50.06659958,-105.30429074,50.06659958,-105.29617161,0,0
CBU2,12,30,57.8511043,-129.99398116,57.84606471,-129.97801383,0,0
CBW2,17,35,54.17341625,-128.57540053,54.16568366,-128.58020833,0,0
CBZ9,08,26,54.01593847,-124.78014877,54.01304854,-124.76250945,0.0,0.0
CCA6,14,32,52.56880451,-55.78970325,52.56626722,-55.78060831,0,0
CCC2,15,33,47.13970184,-55.33390045,47.13470078,-55.32440186,0.0,0.0
CCD2,06,24,49.47773556,-56.18307824,49.48116583,-56.17247737,0,0
CCE3,02,20,46.55711154,-67.16803143,46.56952565,-67.16889714,0.0,0.0
CCE4,14,32,53.47164294,-55.79248607,53.46815722,-55.78266345,0,0
CCF4,15,33,44.71207168,-63.30197403,44.70725063,-63.29683907,0,0
CCG4,05,23,46.15101171,-64.77532249,46.15614081,-64.76421203,394,0
CCH4,09,27,52.76450167,-56.11825081,52.76694966,-56.10692441,0,0
CCK4,05,23,52.37026031,-55.67680401,52.37536793,-55.67133163,0,0
CCN2,06,24,44.71030045,-66.8003006,44.71640015,-66.79250336,0.0,0.0
CCP2,06,24,49.05206301,-55.45344984,49.06001935,-55.44197233,0,0
CCQ3,05,23,45.41722514,-63.46628235,45.42474021,-63.46025688,0.0,0.0
CCQ3,09,27,45.41386795,-63.4705658,45.41787338,-63.45199966,0.0,0.0
CCQ3,16,34,45.42460387,-63.46705434,45.41492321,-63.45327896,500.0,0.0
CCR3,18,36,46.43310165,-67.63179779,46.4192009,-67.62409973,0.0,0.0
CCS3,14,32,45.20940018,-67.25559998,45.20529938,-67.24530029,0.0,0.0
CCS4,09,27,46.14648288,-65.91361853,46.15030013,-65.89663853,0.0,0.0
CCW3,10,28,45.05110168,-64.65859985,45.05329895,-64.64530182,0.0,0.0
CCW4,02,20,45.09500127,-63.92430413,45.09993732,-63.92422309,0.0,0.0
CCW4,09,27,45.09463258,-63.92470374,45.09719663,-63.91611295,0.0,0.0
CCW4,15,33,45.09950231,-63.92342075,45.09674065,-63.91855726,0.0,0.0
CCZ2,11,29,54.17927453,-58.46294447,54.1796579,-58.45124972,0,0
CCZ3,08,26,48.27149963,-53.93040085,48.2779007,-53.91740036,0.0,0.0
CCZ4,01,19,46.33738006,-60.97905214,46.34395951,-60.98184227,0,0
CDA4,12,30,47.717458,-64.888275,47.71503591,-64.87494164,0.0,0.0
CDA5,18,36,47.7793539,-59.31465894,47.77172719,-59.310512,0.0,0.0
CDH3,12,30,43.96067415,-66.00167778,43.95783593,-65.99515584,0,0
CDJ4,14,32,46.71559906,-66.83550262,46.71089935,-66.82119751,0.0,0.0
CDT5,09,27,46.50740051,-64.70330048,46.51139832,-64.68430328,0.0,0.0
CDU6,11,29,46.55289519,-66.10229956,46.55190285,-66.08446577,0.0,0.0
CDV2,05,23,47.74769951,-67.43143668,47.75820391,-67.42174368,0.0,0.0
CDY3,10,28,49.656799,-54.243801,49.6581,-54.231201,0.0,0.0
CDY6,15,33,44.38358081,-64.45932316,44.38034261,-64.45412006,0,0
CEC4,02,20,53.31439972,-117.75900269,53.32389832,-117.74700165,0.0,300.0
CEF4,12,30,51.26890182,-113.94200134,51.25880051,-113.92700195,0.0,1000.0
CEG4,16,34,51.50114054,-112.74867217,51.49152639,-112.74867217,0,0
